row,fold
0,2
1,2
2,2
3,1
4,4
5,4
6,2
7,4
8,2
9,3
10,1
11,2
12,2
13,2
14,3
15,1
16,0
17,1
18,4
19,3
20,2
21,4
22,3
23,0
24,2
25,3
26,1
27,2
28,3
29,1
30,0
31,0
32,2
33,4
34,0
35,3
36,0
37,4
38,4
39,4
40,4
41,4
42,0
43,3
44,3
45,0
46,2
47,1
48,2
49,1
50,4
51,2
52,3
53,2
54,4
55,4
56,0
57,2
58,1
59,1
60,1
61,0
62,2
63,3
64,4
65,2
66,3
67,1
68,4
69,1
70,4
71,4
72,4
73,1
74,2
75,1
76,1
77,3
78,0
79,3
80,3
81,3
82,0
83,3
84,2
85,1
86,3
87,0
88,4
89,3
90,1
91,3
92,4
93,3
94,2
95,4
96,4
97,0
98,2
99,1
100,1
101,1
102,1
103,1
104,4
105,1
106,4
107,4
108,2
109,4
110,2
111,2
112,2
113,1
114,1
115,1
116,0
117,2
118,3
119,1
120,4
121,2
122,1
123,4
124,2
125,0
126,4
127,0
128,3
129,2
130,4
131,3
132,4
133,3
134,1
135,0
136,1
137,1
138,0
139,1
140,2
141,2
142,1
143,4
144,3
145,4
146,0
147,2
148,0
149,2
150,1
151,3
152,2
153,3
154,2
155,2
156,2
157,3
158,1
159,4
160,1
161,3
162,0
163,0
164,4
165,1
166,1
167,1
168,0
169,4
170,3
171,3
172,3
173,2
174,0
175,2
176,3
177,1
178,4
179,1
180,0
181,0
182,2
183,4
184,1
185,4
186,0
187,0
188,4
189,0
190,1
191,2
192,4
193,3
194,4
195,1
196,0
197,4
198,4
199,1
200,0
201,3
202,1
203,3
204,2
205,3
206,2
207,3
208,0
209,4
210,2
211,0
212,0
213,2
214,3
215,4
216,1
217,4
218,3
219,4
220,0
221,2
222,3
223,1
224,1
225,2
226,1
227,3
228,4
229,3
230,2
231,2
232,2
233,0
234,1
235,1
236,2
237,4
238,0
239,0
240,3
241,4
242,0
243,3
244,0
245,2
246,0
247,2
248,4
249,3
250,3
251,1
252,0
253,2
254,1
255,1
256,3
257,0
258,4
259,0
260,0
261,3
262,4
263,1
264,4
265,4
266,1
267,3
268,2
269,4
270,3
271,3
272,4
273,1
274,0
275,4
276,0
277,2
278,1
279,1
280,3
281,0
282,1
283,0
284,1
285,4
286,0
287,1
288,0
289,0
290,0
291,0
292,3
293,2
294,1
295,3
296,1
297,4
298,1
299,2
300,0
301,0
302,2
303,2
304,3
305,3
306,0
307,1
308,0
309,0
310,0
311,1
312,4
313,1
314,2
315,4
316,0
317,1
318,4
319,1
320,3
321,0
322,0
323,2
324,4
325,4
326,4
327,2
328,1
329,1
330,2
331,4
332,1
333,1
334,4
335,4
336,1
337,0
338,2
339,2
340,1
341,1
342,2
343,0
344,2
345,3
346,4
347,2
348,2
349,3
350,4
351,4
352,2
353,0
354,3
355,3
356,4
357,0
358,3
359,4
360,0
361,4
362,0
363,0
364,3
365,2
366,0
367,4
368,1
369,1
370,1
371,0
372,0
373,1
374,3
375,2
376,0
377,0
378,0
379,4
380,2
381,3
382,2
383,2
384,0
385,0
386,1
387,0
388,0
389,0
390,4
391,0
392,3
393,3
394,2
395,3
396,4
397,2
398,4
399,3
400,2
401,4
402,0
403,4
404,1
405,2
406,1
407,3
408,2
409,2
410,2
411,2
412,0
413,4
414,0
415,2
416,4
417,4
418,0
419,3
420,2
421,4
422,0
423,4
424,2
425,3
426,1
427,1
428,4
429,3
430,0
431,2
432,0
433,4
434,3
435,1
436,4
437,0
438,1
439,1
440,2
441,0
442,1
443,4
444,0
445,0
446,2
447,0
448,3
449,0
450,0
451,2
452,4
453,3
454,4
455,3
456,3
457,4
458,1
459,4
460,0
461,4
462,2
463,1
464,0
465,4
466,4
467,3
468,1
469,4
470,3
471,3
472,3
473,1
474,3
475,2
476,0
477,0
478,0
479,0
480,3
481,2
482,2
483,0
484,1
485,4
486,3
487,3
488,4
489,3
490,4
491,4
492,2
493,3
494,1
495,3
496,3
497,0
498,4
499,4
500,4
501,3
502,1
503,1
504,2
505,2
506,2
507,0
508,4
509,0
510,3
511,1
512,0
513,4
514,3
515,3
516,0
517,4
518,1
519,4
520,1
521,1
522,2
523,4
524,0
525,4
526,0
527,2
528,0
529,1
530,0
531,0
532,0
533,0
534,4
535,1
536,2
537,2
538,3
539,3
540,3
541,4
542,3
543,2
544,1
545,4
546,2
