row,fold
0,4
1,4
2,0
3,3
4,2
5,4
6,1
7,3
8,3
9,2
10,3
11,0
12,3
13,0
14,0
15,3
16,0
17,4
18,4
19,2
20,1
21,3
22,4
23,4
24,2
25,0
26,3
27,0
28,1
29,2
30,3
31,3
32,0
33,2
34,1
35,4
36,0
37,1
38,3
39,4
40,3
41,3
42,3
43,2
44,2
45,1
46,4
47,0
48,3
49,0
50,2
51,2
52,0
53,4
54,1
55,3
56,3
57,1
58,2
59,2
60,3
61,0
62,0
63,3
64,1
65,3
66,1
67,3
68,1
69,2
70,1
71,2
72,1
73,3
74,4
75,2
76,4
77,2
78,3
79,3
80,3
81,2
82,3
83,3
84,4
85,4
86,2
87,1
88,3
89,0
90,1
91,1
92,0
93,0
94,1
95,0
96,0
97,3
98,4
99,2
100,0
101,2
102,4
103,2
104,2
105,1
106,3
107,0
108,3
109,2
110,1
111,3
112,2
113,4
114,3
115,1
116,2
117,4
118,0
119,0
120,2
121,0
122,3
123,2
124,1
125,0
126,3
127,4
128,3
129,4
130,4
131,1
132,3
133,3
134,2
135,2
136,4
137,4
138,4
139,0
140,1
141,4
142,4
143,0
144,3
145,2
146,1
147,1
148,3
149,0
150,0
151,1
152,4
153,1
154,2
155,4
156,3
157,3
158,4
159,4
160,1
161,1
162,3
163,1
164,4
165,2
166,3
167,0
168,4
169,4
170,4
171,1
172,2
173,3
174,4
175,4
176,4
177,2
178,1
179,2
180,1
181,1
182,3
183,4
184,4
185,2
186,4
187,1
188,2
189,3
190,1
191,2
192,0
193,0
194,3
195,4
196,1
197,4
198,4
199,4
200,2
201,4
202,3
203,3
204,2
205,0
206,0
207,3
208,4
209,2
210,0
211,2
212,2
213,2
214,3
215,4
216,2
217,1
218,4
219,0
220,0
221,4
222,0
223,2
224,1
225,3
226,4
227,3
228,2
229,2
230,1
231,2
232,3
233,1
234,4
235,4
236,3
237,4
238,2
239,1
240,1
241,2
242,3
243,4
244,3
245,2
246,2
247,4
248,0
249,2
250,2
251,0
252,3
253,3
254,0
255,4
256,1
257,1
258,0
259,4
260,2
261,3
262,0
263,0
264,4
265,4
266,2
267,1
268,1
269,1
270,1
271,3
272,1
273,1
274,1
275,1
276,2
277,2
278,2
279,3
280,0
281,3
282,4
283,3
284,3
285,4
286,2
287,1
288,3
289,4
290,1
291,0
292,0
293,1
294,1
295,1
296,1
297,2
298,4
299,0
300,3
301,3
302,3
303,2
304,3
305,2
306,0
307,0
308,1
309,1
310,1
311,1
312,3
313,3
314,4
315,1
316,3
317,3
318,0
319,4
320,3
321,1
322,2
323,2
324,3
325,3
326,0
327,4
328,1
329,4
330,0
331,1
332,0
333,2
334,0
335,3
336,3
337,0
338,3
339,3
340,1
341,1
342,1
343,1
344,0
345,0
346,0
347,2
348,0
349,3
350,2
351,0
352,0
353,2
354,3
355,4
356,4
357,4
358,3
359,1
360,2
361,0
362,4
363,1
364,3
365,2
366,1
367,2
368,2
369,1
370,1
371,3
372,1
373,4
374,1
375,0
376,0
377,3
378,3
379,1
380,3
381,2
382,0
383,3
384,2
385,3
386,4
387,4
388,4
389,1
390,3
391,4
392,0
393,3
394,4
395,2
396,4
397,4
398,3
399,4
400,4
401,1
402,4
403,0
404,4
405,4
406,0
407,2
408,2
409,3
410,0
411,3
412,4
413,0
414,1
415,4
416,2
417,2
418,3
419,0
420,1
421,4
422,2
423,2
424,2
425,3
426,3
427,4
428,3
429,4
430,3
431,0
432,4
433,1
434,0
435,0
436,4
437,1
438,3
439,3
440,1
441,2
442,0
443,1
444,2
445,0
446,0
447,2
448,0
449,3
450,0
451,0
452,4
453,0
454,2
455,4
456,4
457,4
458,0
459,2
460,1
461,4
462,0
463,0
464,4
465,0
466,0
467,4
468,0
469,1
470,2
471,4
472,4
473,4
474,2
475,2
476,4
477,3
478,2
479,2
480,1
481,1
482,1
483,4
484,3
485,4
486,0
487,2
488,2
489,0
490,1
491,3
492,2
493,4
494,4
495,1
496,2
497,1
498,1
499,2
500,0
501,2
502,2
503,2
504,0
505,0
506,1
507,2
508,3
509,0
510,2
511,1
512,2
513,1
514,1
515,4
516,4
517,1
518,3
519,2
520,1
521,3
522,4
523,4
524,0
525,1
526,1
527,0
528,1
529,1
530,1
531,3
532,3
533,1
534,3
535,2
536,4
537,2
538,2
539,1
540,2
541,3
542,4
543,3
544,1
545,1
546,3
547,2
548,2
549,0
550,2
551,3
552,1
553,2
554,0
555,0
556,1
557,2
558,4
559,2
560,3
561,4
562,3
563,3
564,1
565,1
566,3
567,4
568,0
569,0
570,2
571,0
572,4
573,2
574,4
575,2
576,1
577,2
578,4
579,3
580,3
581,0
582,0
583,0
584,0
585,2
586,4
587,1
588,0
589,0
590,0
591,0
592,1
593,1
594,4
595,0
596,2
597,1
598,0
599,2
600,1
601,1
602,0
603,1
604,2
605,4
606,3
607,1
608,3
609,2
610,2
611,0
612,2
613,4
614,4
615,3
616,3
617,4
618,3
619,2
620,2
621,3
622,3
623,1
624,3
625,3
626,0
627,2
628,4
629,4
630,2
631,2
632,0
633,0
634,4
635,2
636,3
637,1
638,1
639,1
640,1
641,1
642,1
643,4
644,0
645,0
646,4
647,2
648,1
649,4
650,0
651,0
652,3
653,1
654,0
655,2
656,1
657,1
658,3
659,0
660,0
661,4
662,3
663,0
664,0
665,0
666,0
667,0
668,2
669,3
670,2
671,0
672,0
673,1
674,1
675,1
676,2
677,4
678,4
679,2
680,4
681,4
682,4
683,2
684,4
685,3
686,0
687,1
688,1
689,1
690,1
691,4
692,1
693,1
694,4
695,1
696,2
697,1
698,0
699,0
700,3
701,2
702,1
703,0
704,2
705,4
706,0
707,1
708,0
709,4
710,2
711,3
712,4
713,4
714,4
715,4
716,0
717,4
718,2
719,0
720,0
721,4
722,1
723,2
724,0
725,1
726,2
727,4
728,3
729,2
730,2
731,3
732,0
733,0
734,3
735,2
736,1
737,0
738,0
739,4
740,4
741,0
742,3
743,4
744,0
745,3
746,3
747,4
748,1
749,2
750,0
751,2
752,2
753,4
754,3
755,2
756,4
757,1
758,2
759,2
760,3
761,4
762,0
763,4
764,2
765,0
766,0
767,0
768,0
769,1
770,0
771,1
772,0
773,0
774,1
775,4
776,3
777,1
778,2
779,3
780,3
781,1
782,4
783,1
784,1
785,3
786,2
787,1
788,0
789,3
790,1
791,4
792,2
793,2
794,4
795,2
796,4
797,0
798,0
799,4
800,1
801,1
802,1
803,1
804,1
805,0
806,1
807,1
808,0
809,1
810,3
811,0
812,1
813,4
814,0
815,3
816,1
817,3
818,0
819,3
820,0
821,0
822,2
823,3
824,1
825,0
826,0
827,3
828,4
829,1
830,3
831,4
832,3
833,4
834,1
835,1
836,3
837,4
838,1
839,2
840,3
841,4
842,4
843,4
844,0
845,4
846,2
847,3
848,0
849,3
850,4
851,0
852,2
853,4
854,2
855,4
856,1
857,0
858,0
859,2
860,4
861,4
862,3
863,3
864,3
865,0
866,2
867,0
868,4
869,4
870,0
871,2
872,3
873,0
874,0
875,4
876,1
877,0
878,4
879,3
880,2
881,0
882,2
883,3
884,3
885,4
886,0
887,3
888,4
889,1
890,2
891,3
892,0
893,3
894,0
895,2
896,2
897,3
898,4
899,0
900,1
901,1
902,3
903,4
904,1
905,4
906,2
907,2
908,4
909,0
910,1
911,4
912,3
913,4
914,3
915,0
916,0
917,2
918,1
919,2
920,1
921,1
922,0
923,2
924,0
925,1
926,4
927,0
928,2
929,3
930,0
931,2
932,0
933,0
934,4
935,3
936,0
937,0
938,1
939,0
940,2
941,0
942,0
943,0
944,1
945,3
946,1
947,1
948,0
949,3
950,2
951,0
952,2
953,4
954,3
955,4
956,1
957,1
958,0
959,1
960,1
961,1
962,3
963,4
964,2
965,2
966,1
967,2
968,4
969,0
970,3
971,2
972,4
973,2
974,3
975,4
976,0
977,2
978,3
979,2
980,4
981,3
982,1
983,1
984,1
985,3
986,1
987,2
988,0
989,1
990,1
991,1
992,1
993,2
994,1
995,0
996,1
997,0
998,3
999,2
1000,1
1001,1
1002,2
1003,3
1004,1
1005,4
1006,0
1007,2
1008,0
1009,2
1010,4
1011,2
1012,2
1013,2
1014,2
1015,1
1016,2
1017,2
1018,1
1019,4
1020,4
1021,4
1022,3
1023,3
1024,3
1025,2
1026,0
1027,1
1028,4
1029,3
1030,2
1031,1
1032,3
1033,0
1034,4
1035,2
1036,4
1037,4
1038,0
1039,2
1040,1
1041,0
1042,4
1043,0
1044,2
1045,0
1046,2
1047,3
1048,3
1049,1
1050,4
1051,0
1052,1
1053,3
1054,2
1055,2
1056,0
1057,1
1058,0
1059,4
1060,3
1061,1
1062,3
1063,0
1064,4
1065,0
1066,3
1067,4
1068,2
1069,4
1070,2
1071,1
1072,1
1073,4
1074,1
1075,2
1076,1
1077,1
1078,4
1079,4
1080,3
1081,2
1082,1
1083,3
1084,3
1085,0
1086,2
1087,1
1088,4
1089,1
1090,1
1091,2
1092,2
1093,1
1094,0
1095,0
1096,0
1097,0
1098,0
1099,1
1100,1
1101,2
1102,4
1103,4
1104,3
1105,3
1106,3
1107,3
1108,4
1109,3
1110,3
1111,4
1112,2
1113,2
1114,3
1115,0
1116,1
1117,3
1118,1
1119,3
1120,0
1121,2
1122,1
1123,3
1124,3
1125,0
1126,4
1127,4
1128,1
1129,2
1130,3
1131,4
1132,4
1133,4
1134,4
1135,0
1136,2
1137,1
1138,1
1139,2
1140,0
1141,1
1142,2
1143,0
1144,2
1145,2
1146,1
1147,3
1148,0
1149,1
1150,3
1151,2
1152,2
1153,2
1154,1
1155,3
1156,2
1157,2
1158,3
1159,1
1160,1
1161,2
1162,1
1163,2
1164,3
1165,0
1166,3
1167,2
1168,4
1169,4
1170,1
1171,3
1172,2
1173,4
1174,4
1175,1
1176,4
1177,4
1178,2
1179,3
1180,3
1181,0
1182,3
1183,4
1184,3
1185,2
1186,3
1187,1
1188,3
1189,3
1190,2
1191,2
1192,2
1193,0
1194,3
1195,2
1196,3
1197,0
1198,4
1199,3
1200,3
1201,2
1202,0
1203,0
1204,4
1205,0
1206,1
1207,4
1208,3
1209,0
1210,0
1211,3
1212,3
1213,3
1214,4
1215,4
1216,3
1217,1
1218,3
1219,2
1220,1
1221,3
1222,1
1223,2
1224,0
1225,0
1226,4
1227,3
