split,model,roc_auc,roc_auc_std,pr_auc_lift,seeds
scaffold,prior,0.5,0.0,0.0,3
scaffold,size+logreg,0.532,0.003,0.019,3
scaffold,knn5 tanimoto,0.604,0.002,0.059,3
scaffold,morgan+logreg,0.59,0.006,0.066,3
scaffold,morgan+rf,0.645,0.004,0.106,3
scaffold,desc+rf,0.642,0.006,0.103,3
scaffold,morgan+desc+rf,0.648,0.005,0.106,3
scaffold,morgan+desc+lgbm,0.636,0.008,0.099,3
random,prior,0.5,0.0,0.0,3
random,size+logreg,0.55,0.002,0.019,3
random,knn5 tanimoto,0.637,0.003,0.081,3
random,morgan+logreg,0.632,0.004,0.091,3
random,morgan+rf,0.684,0.002,0.132,3
random,desc+rf,0.679,0.002,0.128,3
random,morgan+desc+rf,0.685,0.002,0.132,3
random,morgan+desc+lgbm,0.674,0.002,0.125,3
scaffold,morgan+desc+rf-multi,0.65,0.004,0.108,3
random,morgan+desc+rf-multi,0.687,0.004,0.133,3
