split,seed,model,adr,roc_auc,pr_auc,prevalence
scaffold,0,morgan+desc+mlp,Hepatobiliary disorders,0.7129434118829978,0.7091321006274761,0.5206727400140154
scaffold,0,morgan+desc+mlp,Metabolism and nutrition disorders,0.6205218724492934,0.7829415871300538,0.6979677645409951
scaffold,0,morgan+desc+mlp,Product issues,0.36551063470539097,0.03003257800353274,0.015416958654519973
scaffold,0,morgan+desc+mlp,Eye disorders,0.6506115351056991,0.7380896814922349,0.613875262789068
scaffold,0,morgan+desc+mlp,Investigations,0.6779017235658037,0.8933971598489638,0.8065872459705676
scaffold,0,morgan+desc+mlp,Musculoskeletal and connective tissue disorders,0.6440493881242635,0.8073428015229384,0.6986685353889278
scaffold,0,morgan+desc+mlp,Gastrointestinal disorders,0.724196143511318,0.9601196181432463,0.9096005606166784
scaffold,0,morgan+desc+mlp,Social circumstances,0.633660811141195,0.28514000657526056,0.17589348283111422
scaffold,0,morgan+desc+mlp,Immune system disorders,0.6280491015891256,0.8089479597701678,0.7175893482831114
scaffold,0,morgan+desc+mlp,Reproductive system and breast disorders,0.6873974824202091,0.7028343925487384,0.5094604064470918
scaffold,0,morgan+desc+mlp,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",0.6504235143213697,0.43622166747634283,0.263489838822705
scaffold,0,morgan+desc+mlp,General disorders and administration site conditions,0.6128239598974892,0.9374175108710873,0.905395935529082
scaffold,0,morgan+desc+mlp,Endocrine disorders,0.6616409641915254,0.43864509796493306,0.2263489838822705
scaffold,0,morgan+desc+mlp,Surgical and medical procedures,0.577481511252523,0.2165057212037985,0.14926419060967064
scaffold,0,morgan+desc+mlp,Vascular disorders,0.6460420977196046,0.8627135344177066,0.7764540995094604
scaffold,0,morgan+desc+mlp,Blood and lymphatic system disorders,0.6933045336446719,0.7918787425753144,0.6201822004204625
scaffold,0,morgan+desc+mlp,Skin and subcutaneous tissue disorders,0.6951821189904458,0.9626070909223525,0.9236159775753329
scaffold,0,morgan+desc+mlp,"Congenital, familial and genetic disorders",0.5666720060761945,0.2700925499398731,0.17729502452697968
scaffold,0,morgan+desc+mlp,Infections and infestations,0.6249763506424796,0.7895081308662645,0.7049754730203224
scaffold,0,morgan+desc+mlp,"Respiratory, thoracic and mediastinal disorders",0.6342792820264389,0.8286208786519534,0.7428170988086895
scaffold,0,morgan+desc+mlp,Psychiatric disorders,0.6567399433139386,0.813698153837063,0.7119831814996496
scaffold,0,morgan+desc+mlp,Renal and urinary disorders,0.6523697934670141,0.7645445862361658,0.6384022424667134
scaffold,0,morgan+desc+mlp,"Pregnancy, puerperium and perinatal conditions",0.507025517595258,0.10441621503297882,0.08759635599159075
scaffold,0,morgan+desc+mlp,Ear and labyrinth disorders,0.6378973767134731,0.6121408052113683,0.46180798878766643
scaffold,0,morgan+desc+mlp,Cardiac disorders,0.6591362874758465,0.8032501335539614,0.6923615977575333
scaffold,0,morgan+desc+mlp,Nervous system disorders,0.7482184486102781,0.9670004629373729,0.9138051857042747
scaffold,0,morgan+desc+mlp,"Injury, poisoning and procedural complications",0.6152005484975612,0.7527538064424093,0.6629292221443588
scaffold,0,mol2vec+logreg,Hepatobiliary disorders,0.6747864335824625,0.6715463596521125,0.5206727400140154
scaffold,0,mol2vec+logreg,Metabolism and nutrition disorders,0.6033738559237583,0.7669555146295518,0.6979677645409951
scaffold,0,mol2vec+logreg,Product issues,0.5581747917820257,0.062424612132151135,0.015416958654519973
scaffold,0,mol2vec+logreg,Eye disorders,0.6308473534651291,0.7045198214639464,0.613875262789068
scaffold,0,mol2vec+logreg,Investigations,0.6463524730172572,0.8803028041646355,0.8065872459705676
scaffold,0,mol2vec+logreg,Musculoskeletal and connective tissue disorders,0.6161209662057672,0.7815293761032833,0.6986685353889278
scaffold,0,mol2vec+logreg,Gastrointestinal disorders,0.6869774871204227,0.9539286436677207,0.9096005606166784
scaffold,0,mol2vec+logreg,Social circumstances,0.5976143885615626,0.23205811650997443,0.17589348283111422
scaffold,0,mol2vec+logreg,Immune system disorders,0.6030308621555454,0.8029449233446911,0.7175893482831114
scaffold,0,mol2vec+logreg,Reproductive system and breast disorders,0.672971553919233,0.6636204042619972,0.5094604064470918
scaffold,0,mol2vec+logreg,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",0.6620441972859061,0.40882068793436943,0.263489838822705
scaffold,0,mol2vec+logreg,General disorders and administration site conditions,0.6322329591234311,0.9392252178623929,0.905395935529082
scaffold,0,mol2vec+logreg,Endocrine disorders,0.6818037550476828,0.4079871469328489,0.2263489838822705
scaffold,0,mol2vec+logreg,Surgical and medical procedures,0.553228349599735,0.18821135970573447,0.14926419060967064
scaffold,0,mol2vec+logreg,Vascular disorders,0.6051215539383376,0.8405396803950367,0.7764540995094604
scaffold,0,mol2vec+logreg,Blood and lymphatic system disorders,0.6902869368546747,0.786849053962142,0.6201822004204625
scaffold,0,mol2vec+logreg,Skin and subcutaneous tissue disorders,0.6397822929547375,0.9494172698014364,0.9236159775753329
scaffold,0,mol2vec+logreg,"Congenital, familial and genetic disorders",0.5613526100086863,0.22151907865466886,0.17729502452697968
scaffold,0,mol2vec+logreg,Infections and infestations,0.6411177933849068,0.8074796275300284,0.7049754730203224
scaffold,0,mol2vec+logreg,"Respiratory, thoracic and mediastinal disorders",0.6242927843256039,0.8142880006870798,0.7428170988086895
scaffold,0,mol2vec+logreg,Psychiatric disorders,0.6147113760706061,0.7777572894259113,0.7119831814996496
scaffold,0,mol2vec+logreg,Renal and urinary disorders,0.6327544447150476,0.7370634233024681,0.6384022424667134
scaffold,0,mol2vec+logreg,"Pregnancy, puerperium and perinatal conditions",0.5406022484743683,0.10899910195256228,0.08759635599159075
scaffold,0,mol2vec+logreg,Ear and labyrinth disorders,0.6101600018795575,0.5470848965002054,0.46180798878766643
scaffold,0,mol2vec+logreg,Cardiac disorders,0.6271078919776005,0.773282638939785,0.6923615977575333
scaffold,0,mol2vec+logreg,Nervous system disorders,0.7288818077944843,0.9584080885625447,0.9138051857042747
scaffold,0,mol2vec+logreg,"Injury, poisoning and procedural complications",0.5954745497759205,0.7420515257103226,0.6629292221443588
scaffold,0,mol2vec+rf,Hepatobiliary disorders,0.706040120955348,0.6895834087294056,0.5206727400140154
scaffold,0,mol2vec+rf,Metabolism and nutrition disorders,0.623543358041129,0.7761981236567103,0.6979677645409951
