split,seed,model,roc_auc,pr_auc_lift,seconds
scaffold,0,count-only,0.6110268532640324,0.0752316081640107,0.2
scaffold,0,count-stacked rf,0.6436926779787315,0.102873398790722,0.2
scaffold,0,atc+rf,0.6107088761975393,0.0761019929192416,0.2
scaffold,0,ind+rf,0.6842035456584347,0.1411663086262309,0.2
scaffold,0,atc+ind+rf,0.709841250654489,0.1570864258779612,0.2
scaffold,0,morgan+desc+atc+ind+rf,0.6593531979028892,0.1164770214264272,19.9
scaffold,1,count-only,0.6187879366444221,0.0808409429525345,105.9
scaffold,1,count-stacked rf,0.6537549741887764,0.1105735836966156,193.0
scaffold,1,atc+rf,0.612475816920666,0.0787362106005969,72.9
scaffold,1,ind+rf,0.6816249646619668,0.1376590905281111,74.5
scaffold,1,atc+ind+rf,0.7097242252555853,0.1558516608392107,73.8
scaffold,1,morgan+desc+atc+ind+rf,0.671008717083992,0.1242487137181256,97.8
scaffold,2,count-only,0.6150789889866881,0.0727810125075138,94.6
scaffold,2,count-stacked rf,0.6479616541800267,0.1071708300465613,190.1
scaffold,2,atc+rf,0.6127106854688356,0.0773501702094132,72.3
scaffold,2,ind+rf,0.6826524950257119,0.1413475367555204,72.9
scaffold,2,atc+ind+rf,0.7103892986315151,0.1573744537351479,75.2
scaffold,2,morgan+desc+atc+ind+rf,0.6625084222157935,0.1207274528849585,97.5
scaffold,0,structure rf + pharma rf,0.723907155795793,0.16877044805489805,173.8
scaffold,1,structure rf + pharma rf,0.7298343556653692,0.17162348007482786,172.1
scaffold,2,structure rf + pharma rf,0.7298554358047717,0.17129526440256346,174.0
