seed,model,roc_auc,pr_auc_lift,seconds
0,prior,0.5,3.3788522222830255e-05,3.7
0,documentation flags + logreg,0.6234238523781634,0.0855603920829259,19.7
0,knn5 tanimoto,0.6135991519014791,0.07566848160572252,10.3
0,structure rf,0.6659326013597235,0.1414260222426506,116.9
0,pharma rf,0.7117320861492314,0.19868391001972585,102.5
0,structure rf + pharma rf,0.7380025726731579,0.22598090550065217,217.2
1,prior,0.5,6.102431336931388e-06,4.0
1,documentation flags + logreg,0.6225369773745205,0.08630500903085431,12.8
1,knn5 tanimoto,0.6145242590318388,0.0763844669795506,9.8
1,structure rf,0.6683656309026542,0.14451502437489364,114.1
1,pharma rf,0.7076648751597299,0.19426483765160227,105.3
1,structure rf + pharma rf,0.7333268525713038,0.22239776885433693,211.8
2,prior,0.5,8.660610888065336e-05,4.1
2,documentation flags + logreg,0.6197611762111735,0.08345791701562702,12.1
2,knn5 tanimoto,0.6100773598696918,0.07354634337304865,9.5
2,structure rf,0.6613781565124125,0.13591755717758291,109.0
2,pharma rf,0.7064683039701312,0.19657792614124556,96.9
2,structure rf + pharma rf,0.7325098949645972,0.2217708547975097,213.8
